('192.168.137.1', 64572)#wake#camera
('192.168.137.1', 64572)#pos#blue#[0.24625697135925292, 0.20998323228624133]
('192.168.137.1', 64572)#pos#blue#[0.2455507278442383, 0.21078888222023293]
('192.168.137.1', 64572)#pos#blue#[0.24695512453715007, 0.21168092798303675]
('192.168.137.1', 64572)#pos#blue#[0.24724054336547852, 0.2102108708134404]
('192.168.137.1', 64572)#pos#blue#[0.2447940667470296, 0.2100391529224537]
('192.168.137.1', 64572)#pos#blue#[0.2448025385538737, 0.20947836416739005]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.20833333333333334]
('192.168.137.1', 64572)#pos#blue#[0.24474506378173827, 0.20785204569498697]
('192.168.137.1', 64572)#pos#blue#[0.24729859034220378, 0.21036046346028645]
('192.168.137.1', 64572)#pos#blue#[0.24447482426961262, 0.21046279624656394]
('192.168.137.1', 64572)#pos#blue#[0.2479291598002116, 0.20896665785047744]
('192.168.137.1', 64572)#pos#blue#[0.2455421288808187, 0.20515015213577836]
('192.168.137.1', 64572)#pos#blue#[0.24558865229288737, 0.20874849955240884]
('192.168.137.1', 64572)#pos#blue#[0.24610312779744467, 0.20847146775987413]
('192.168.137.1', 64572)#pos#blue#[0.2464185873667399, 0.20741336963794849]
('192.168.137.1', 64572)#pos#blue#[0.24503275553385417, 0.2113557603624132]
('192.168.137.1', 64572)#pos#blue#[0.2425313154856364, 0.2110664932816117]
('192.168.137.1', 64572)#pos#blue#[0.24424559275309246, 0.20851509659378617]
('192.168.137.1', 64572)#pos#blue#[0.2452288786570231, 0.21062110618308738]
('192.168.137.1', 64572)#pos#blue#[0.24528762499491374, 0.2110894803647642]
('192.168.137.1', 64572)#pos#blue#[0.24538294474283853, 0.2089079397696036]
('192.168.137.1', 64572)#pos#blue#[0.2441702365875244, 0.2113986262568721]
('192.168.137.1', 64572)#pos#blue#[0.24224602381388347, 0.2054723103841146]
('192.168.137.1', 64572)#pos#blue#[0.24322916666666666, 0.20833333333333334]
('192.168.137.1', 64572)#pos#blue#[0.2472542921702067, 0.21017868607132523]
('192.168.137.1', 64572)#pos#blue#[0.24402213096618652, 0.20733591715494792]
('192.168.137.1', 64572)#pos#blue#[0.24726433753967286, 0.21102915163393374]
('192.168.137.1', 64572)#pos#blue#[0.24566469192504883, 0.20929315355088976]
('192.168.137.1', 64572)#pos#blue#[0.24575077692667643, 0.20667909692834924]
('192.168.137.1', 64572)#pos#blue#[0.24519232114156086, 0.20965098628291376]
('192.168.137.1', 64572)#pos#blue#[0.24520095189412436, 0.20897756505895543]
('192.168.137.1', 64572)#pos#blue#[0.24496882756551105, 0.2085539217348452]
('192.168.137.1', 64572)#pos#blue#[0.24623057047526042, 0.21145386872468172]
('192.168.137.1', 64572)#pos#blue#[0.24628578821818034, 0.207624265882704]
('192.168.137.1', 64572)#pos#blue#[0.2453125, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24421118100484213, 0.2093451040762442]
('192.168.137.1', 64572)#pos#blue#[0.2446038564046224, 0.20673220599139178]
('192.168.137.1', 64572)#pos#blue#[0.24357287089029947, 0.20726194028501158]
('192.168.137.1', 64572)#pos#blue#[0.24373768170674642, 0.20990072179723668]
('192.168.137.1', 64572)#pos#blue#[0.24480168024698892, 0.20995405691641347]
('192.168.137.1', 64572)#pos#blue#[0.2459136962890625, 0.21145333184136283]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.2074074074074074]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24680522282918294, 0.2102402298538773]
('192.168.137.1', 64572)#pos#blue#[0.246514097849528, 0.2109925870542173]
('192.168.137.1', 64572)#pos#blue#[0.2453125, 0.20694444444444443]
('192.168.137.1', 64572)#pos#blue#[0.24404260317484539, 0.2085227683738426]
('192.168.137.1', 64572)#pos#blue#[0.24425992965698243, 0.20443977073386863]
('192.168.137.1', 64572)#pos#blue#[0.24402526219685872, 0.20077472262912327]
('192.168.137.1', 64572)#pos#blue#[0.24011224110921223, 0.2042236469410084]
('192.168.137.1', 64572)#pos#blue#[0.24394453366597493, 0.2134720555058232]
('192.168.137.1', 64572)#pos#blue#[0.24473961194356283, 0.2118981679280599]
('192.168.137.1', 64572)#pos#blue#[0.24215906461079914, 0.20292657922815394]
('192.168.137.1', 64572)#pos#blue#[0.24510416984558106, 0.21101851286711515]
('192.168.137.1', 64572)#pos#blue#[0.24392325083414715, 0.2077593626799407]
('192.168.137.1', 64572)#pos#blue#[0.24166666666666667, 0.20694444444444443]
('192.168.137.1', 64572)#pos#blue#[0.24705206553141276, 0.21093516879611546]
('192.168.137.1', 64572)#pos#blue#[0.24574143091837566, 0.2119008947301794]
('192.168.137.1', 64572)#pos#blue#[0.2472460428873698, 0.210341630158601]
('192.168.137.1', 64572)#pos#blue#[0.24659454027811686, 0.21189459341543693]
('192.168.137.1', 64572)#pos#blue#[0.24484713872273764, 0.2107304325810185]
('192.168.137.1', 64572)#pos#blue#[0.2457487424214681, 0.21009501704463251]
('192.168.137.1', 64572)#pos#blue#[0.24583657582600912, 0.21248194376627605]
('192.168.137.1', 64572)#pos#blue#[0.24497796694437662, 0.20950136537905092]
('192.168.137.1', 64572)#pos#blue#[0.24625697135925292, 0.21187174761736835]
('192.168.137.1', 64572)#pos#blue#[0.24042466481526692, 0.21153844197591146]
('192.168.137.1', 64572)#pos#blue#[0.24807294209798178, 0.21208332203052663]
('192.168.137.1', 64572)#pos#blue#[0.24568626085917156, 0.20956970497413918]
('192.168.137.1', 64572)#pos#blue#[0.24608570734659832, 0.21225888287579572]
('192.168.137.1', 64572)#pos#blue#[0.246588134765625, 0.2114705544930917]
('192.168.137.1', 64572)#pos#blue#[0.24761672019958497, 0.21210878160264757]
('192.168.137.1', 64572)#pos#blue#[0.2444399356842041, 0.21076455292878327]
('192.168.137.1', 64572)#pos#blue#[0.2455479939778646, 0.2084936919035735]
('192.168.137.1', 64572)#pos#blue#[0.24373211860656738, 0.2124741448296441]
('192.168.137.1', 64572)#pos#blue#[0.2448788324991862, 0.20816112094455294]
('192.168.137.1', 64572)#pos#blue#[0.24558067321777344, 0.20965347290039063]
('192.168.137.1', 64572)#pos#blue#[0.24488191604614257, 0.20687059473108363]
('192.168.137.1', 64572)#pos#blue#[0.2423182964324951, 0.20716260274251302]
('192.168.137.1', 64572)#pos#blue#[0.24418266614278158, 0.2117378800003617]
('192.168.137.1', 64572)#pos#blue#[0.2425604820251465, 0.20725798430266204]
('192.168.137.1', 64572)#pos#blue#[0.24491852124532063, 0.21123826768663195]
('192.168.137.1', 64572)#pos#blue#[0.2428823471069336, 0.2053000838668258]
('192.168.137.1', 64572)#pos#blue#[0.24697516759236654, 0.2111289271601924]
('192.168.137.1', 64572)#pos#blue#[0.24762295087178549, 0.2110351421214916]
('192.168.137.1', 64572)#pos#blue#[0.24596190452575684, 0.21163301821108219]
('192.168.137.1', 64572)#pos#blue#[0.24503404299418133, 0.2117345174153646]
('192.168.137.1', 64572)#pos#blue#[0.24380938212076822, 0.20865443194354022]
('192.168.137.1', 64572)#pos#blue#[0.2452900250752767, 0.21197518242730035]
('192.168.137.1', 64572)#pos#blue#[0.2443818728129069, 0.20863694085015191]
('192.168.137.1', 64572)#pos#blue#[0.24348562558492023, 0.20953107763219764]
('192.168.137.1', 64572)#pos#blue#[0.24549034436543782, 0.211077230947989]
('192.168.137.1', 64572)#pos#blue#[0.24515568415323893, 0.21310580218279804]
('192.168.137.1', 64572)#pos#blue#[0.24465691248575847, 0.20960074530707465]
('192.168.137.1', 64572)#pos#blue#[0.24349616368611654, 0.20776894180862993]
('192.168.137.1', 64572)#pos#blue#[0.24553284645080567, 0.20823593139648439]
('192.168.137.1', 64572)#pos#blue#[0.24553772608439128, 0.20898397940176505]
('192.168.137.1', 64572)#pos#blue#[0.24506276448567707, 0.20958551477502893]
('192.168.137.1', 64572)#pos#blue#[0.24490437507629395, 0.21081500583224827]
('192.168.137.1', 64572)#pos#blue#[0.24400248527526855, 0.20964063008626302]
('192.168.137.1', 64572)#pos#blue#[0.24481396675109862, 0.20755334077058016]
('192.168.137.1', 64572)#pos#blue#[0.24717411994934083, 0.20806774563259547]
('192.168.137.1', 64572)#pos#blue#[0.24588921864827473, 0.2114466631854022]
('192.168.137.1', 64572)#pos#blue#[0.24482051531473795, 0.20970709058973525]
('192.168.137.1', 64572)#pos#blue#[0.24453436533610026, 0.20864630805121528]
('192.168.137.1', 64572)#pos#blue#[0.24519427617390951, 0.2102400885687934]
('192.168.137.1', 64572)#pos#blue#[0.2439946969350179, 0.2085595166241681]
('192.168.137.1', 64572)#pos#blue#[0.24591263135274252, 0.20943253128616898]
('192.168.137.1', 64572)#pos#blue#[0.2404866377512614, 0.20368286415382666]
('192.168.137.1', 64572)#pos#blue#[0.24454495112101238, 0.2071645666051794]
('192.168.137.1', 64572)#pos#blue#[0.24488781293233236, 0.21186149032027632]
('192.168.137.1', 64572)#pos#blue#[0.24460490544637045, 0.20227209020543982]
('192.168.137.1', 64572)#pos#blue#[0.24485651652018228, 0.20941474349410447]
('192.168.137.1', 64572)#pos#blue#[0.24615554809570311, 0.21103504322193287]
('192.168.137.1', 64572)#pos#blue#[0.2456027825673421, 0.20919850667317708]
('192.168.137.1', 64572)#pos#blue#[0.24440574645996094, 0.21064876980251737]
('192.168.137.1', 64572)#pos#blue#[0.24261093139648438, 0.20451985111942997]
('192.168.137.1', 64572)#pos#blue#[0.24602619806925455, 0.21079704849808303]
('192.168.137.1', 64572)#pos#blue#[0.24398667017618816, 0.20873048570421007]
('192.168.137.1', 64572)#pos#blue#[0.2449091116587321, 0.21272121005588107]
('192.168.137.1', 64572)#pos#blue#[0.24494638442993164, 0.20834708037199798]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.2074074074074074]
('192.168.137.1', 64572)#pos#blue#[0.24607292811075845, 0.21193519874855324]
('192.168.137.1', 64572)#pos#blue#[0.2445461908976237, 0.20472104107892072]
('192.168.137.1', 64572)#pos#blue#[0.24399175643920898, 0.20994234438295717]
('192.168.137.1', 64572)#pos#blue#[0.24322916666666666, 0.20833333333333334]
('192.168.137.1', 64572)#pos#blue#[0.24514522552490234, 0.21348126729329428]
('192.168.137.1', 64572)#pos#blue#[0.24461620648701984, 0.20769853945131656]
('192.168.137.1', 64572)#pos#blue#[0.24421180089314778, 0.20556408917462385]
('192.168.137.1', 64572)#pos#blue#[0.244480832417806, 0.21121427747938368]
('192.168.137.1', 64572)#pos#blue#[0.2432490825653076, 0.20922683433250144]
('192.168.137.1', 64572)#pos#blue#[0.24529148737589518, 0.2085777000144676]
('192.168.137.1', 64572)#pos#blue#[0.23987720807393392, 0.204205322265625]
('192.168.137.1', 64572)#pos#blue#[0.24507540067036945, 0.21164881388346354]
('192.168.137.1', 64572)#pos#blue#[0.24610662460327148, 0.21049913477014612]
('192.168.137.1', 64572)#pos#blue#[0.24633978207906088, 0.21014785766601562]
('192.168.137.1', 64572)#pos#blue#[0.24330879847208658, 0.20972766169795284]
('192.168.137.1', 64572)#pos#blue#[0.24205118815104168, 0.20465689765082465]
('192.168.137.1', 64572)#pos#blue#[0.24309196472167968, 0.2061235781069155]
('192.168.137.1', 64572)#pos#blue#[0.24478654861450194, 0.21121032149703414]
('192.168.137.1', 64572)#pos#blue#[0.2446644147237142, 0.21120612533004196]
('192.168.137.1', 64572)#pos#blue#[0.24594998359680176, 0.20405926174587674]
('192.168.137.1', 64572)#pos#blue#[0.24462405840555826, 0.20880535267017505]
('192.168.137.1', 64572)#pos#blue#[0.24392579396565756, 0.20767016940646701]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.20787037037037037]
('192.168.137.1', 64572)#pos#blue#[0.24552200635274252, 0.2096024265995732]
('192.168.137.1', 64572)#pos#blue#[0.24723957379659017, 0.21476852982132524]
('192.168.137.1', 64572)#pos#blue#[0.24479166666666666, 0.2064814814814815]
('192.168.137.1', 64572)#pos#blue#[0.24355281194051107, 0.20942405418113427]
('192.168.137.1', 64572)#pos#blue#[0.2450450579325358, 0.2130005024097584]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.20972222222222223]
('192.168.137.1', 64572)#pos#blue#[0.24166666666666667, 0.20694444444444443]
('192.168.137.1', 64572)#pos#blue#[0.24623049100240071, 0.21161911575882522]
('192.168.137.1', 64572)#pos#blue#[0.2421875, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24547057151794432, 0.2071104685465495]
('192.168.137.1', 64572)#pos#blue#[0.24551614125569662, 0.21231943766276043]
('192.168.137.1', 64572)#pos#blue#[0.24410308202107747, 0.21010442663122106]
('192.168.137.1', 64572)#pos#blue#[0.24550331433614095, 0.2112669626871745]
('192.168.137.1', 64572)#pos#blue#[0.24611501693725585, 0.21164280926739729]
('192.168.137.1', 64572)#pos#blue#[0.24629408518473309, 0.21137821056224682]
('192.168.137.1', 64572)#pos#blue#[0.24114583333333334, 0.20833333333333334]
('192.168.137.1', 64572)#pos#blue#[0.24467833836873373, 0.21200626514576099]
('192.168.137.1', 64572)#pos#blue#[0.24540783564249674, 0.21037217599374278]
('192.168.137.1', 64572)#pos#blue#[0.24270833333333333, 0.20833333333333334]
('192.168.137.1', 64572)#pos#blue#[0.23947118123372396, 0.20179487157751014]
('192.168.137.1', 64572)#pos#blue#[0.24730340639750162, 0.20254236857096355]
('192.168.137.1', 64572)#pos#blue#[0.24227860768636067, 0.2087620629204644]
('192.168.137.1', 64572)#pos#blue#[0.2451993465423584, 0.2077282940899884]
('192.168.137.1', 64572)#pos#blue#[0.24425180753072104, 0.20951045000994648]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.2398571809132894, 0.20535512853551793]
('192.168.137.1', 64572)#pos#blue#[0.24483272234598796, 0.20986884788230614]
('192.168.137.1', 64572)#pos#blue#[0.24365746180216472, 0.21133671513310184]
('192.168.137.1', 64572)#pos#blue#[0.24737261136372884, 0.20882150155526621]
('192.168.137.1', 64572)#pos#blue#[0.24166666666666667, 0.20833333333333334]
('192.168.137.1', 64572)#pos#blue#[0.242636235555013, 0.20624643961588543]
('192.168.137.1', 64572)#pos#blue#[0.24502325057983398, 0.2083285720260055]
('192.168.137.1', 64572)#pos#blue#[0.2441717783610026, 0.2110399881998698]
('192.168.137.1', 64572)#pos#blue#[0.24589290618896484, 0.20869793362087674]
('192.168.137.1', 64572)#pos#blue#[0.24581737518310548, 0.21007875513147425]
('192.168.137.1', 64572)#pos#blue#[0.2451771100362142, 0.20917594344527632]
('192.168.137.1', 64572)#pos#blue#[0.24301932652791342, 0.2118099636501736]
('192.168.137.1', 64572)#pos#blue#[0.24545995394388834, 0.2059470847800926]
('192.168.137.1', 64572)#pos#blue#[0.24640960693359376, 0.20952012803819445]
('192.168.137.1', 64572)#pos#blue#[0.24479935963948568, 0.20954444320113572]
('192.168.137.1', 64572)#pos#blue#[0.2463265577952067, 0.21050379717791523]
('192.168.137.1', 64572)#pos#blue#[0.24475266138712565, 0.21220342848036025]
('192.168.137.1', 64572)#pos#blue#[0.24622548421223958, 0.20722766452365451]
('192.168.137.1', 64572)#pos#blue#[0.24369123776753743, 0.2096321529812283]
('192.168.137.1', 64572)#pos#blue#[0.2447165807088216, 0.2100041566071687]
('192.168.137.1', 64572)#pos#blue#[0.24341627756754558, 0.21015807257758246]
('192.168.137.1', 64572)#pos#blue#[0.24455113410949708, 0.2098790345368562]
('192.168.137.1', 64572)#pos#blue#[0.24176348050435384, 0.20863832544397426]
('192.168.137.1', 64572)#pos#blue#[0.24677561124165853, 0.20930425855848525]
('192.168.137.1', 64572)#pos#blue#[0.24336201349894207, 0.2101609265362775]
('192.168.137.1', 64572)#pos#blue#[0.2452813466389974, 0.20864650585033276]
('192.168.137.1', 64572)#pos#blue#[0.24538666407267254, 0.21182614079228154]
('192.168.137.1', 64572)#pos#blue#[0.23840780258178712, 0.20544456199363426]
('192.168.137.1', 64572)#pos#blue#[0.24615805943806965, 0.2110386883770978]
('192.168.137.1', 64572)#pos#blue#[0.24567708969116211, 0.2129166779694734]
('192.168.137.1', 64572)#pos#blue#[0.2403436342875163, 0.2035859849717882]
('192.168.137.1', 64572)#pos#blue#[0.2452297528584798, 0.20721576831958913]
('192.168.137.1', 64572)#pos#blue#[0.24703224500020346, 0.2111373194941768]
('192.168.137.1', 64572)#pos#blue#[0.24457494417826334, 0.21105740865071615]
('192.168.137.1', 64572)#pos#blue#[0.2450117270151774, 0.2112985540319372]
('192.168.137.1', 64572)#pos#blue#[0.24479166666666666, 0.20925925925925926]
('192.168.137.1', 64572)#pos#blue#[0.2408700942993164, 0.2037581691035518]
('192.168.137.1', 64572)#pos#blue#[0.24550471305847169, 0.20878367953830296]
('192.168.137.1', 64572)#pos#blue#[0.24270833333333333, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24082414309183756, 0.20507898683901185]
('192.168.137.1', 64572)#pos#blue#[0.2451041380564372, 0.21148147583007812]
('192.168.137.1', 64572)#pos#blue#[0.2474329630533854, 0.21093939322012442]
('192.168.137.1', 64572)#pos#blue#[0.2448076883951823, 0.20946581805193865]
('192.168.137.1', 64572)#pos#blue#[0.24455916086832682, 0.21039776272243924]
('192.168.137.1', 64572)#pos#blue#[0.2437307357788086, 0.20925862347638166]
('192.168.137.1', 64572)#pos#blue#[0.24501082102457683, 0.21050491333007812]
('192.168.137.1', 64572)#pos#blue#[0.2462450345357259, 0.21061053805881078]
('192.168.137.1', 64572)#pos#blue#[0.24634474118550617, 0.20648101524070459]
('192.168.137.1', 64572)#pos#blue#[0.24508546193440756, 0.20856135333025896]
('192.168.137.1', 64572)#pos#blue#[0.24596211115519206, 0.2112984127468533]
('192.168.137.1', 64572)#pos#blue#[0.24400620460510253, 0.20516266999421295]
('192.168.137.1', 64572)#pos#blue#[0.24504302342732748, 0.21026898136845343]
('192.168.137.1', 64572)#pos#blue#[0.24325857162475586, 0.20830903229890047]
('192.168.137.1', 64572)#pos#blue#[0.24626374244689941, 0.20742602878146701]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.20787037037037037]
('192.168.137.1', 64572)#pos#blue#[0.24513943990071616, 0.2101050200285735]
('192.168.137.1', 64572)#pos#blue#[0.244950008392334, 0.21311481617115163]
('192.168.137.1', 64572)#pos#blue#[0.24270833333333333, 0.20833333333333334]
('192.168.137.1', 64572)#pos#blue#[0.24606561660766602, 0.20951947812680846]
('192.168.137.1', 64572)#pos#blue#[0.24478491147359213, 0.2124540399622034]
('192.168.137.1', 64572)#pos#blue#[0.247098970413208, 0.21095152960883246]
('192.168.137.1', 64572)#pos#blue#[0.2465408166249593, 0.21003262555157698]
('192.168.137.1', 64572)#pos#blue#[0.24270833333333333, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.2453125, 0.20694444444444443]
('192.168.137.1', 64572)#pos#blue#[0.23992323875427246, 0.20558741534197772]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.20787037037037037]
('192.168.137.1', 64572)#pos#blue#[0.24551029205322267, 0.2100117012306496]
('192.168.137.1', 64572)#pos#blue#[0.24677448272705077, 0.20842803672507956]
('192.168.137.1', 64572)#pos#blue#[0.2418811798095703, 0.20400327046712238]
('192.168.137.1', 64572)#pos#blue#[0.24026142756144206, 0.20558177806712963]
('192.168.137.1', 64572)#pos#blue#[0.24497860272725422, 0.20883815906665942]
('192.168.137.1', 64572)#pos#blue#[0.24322916666666666, 0.20972222222222223]
('192.168.137.1', 64572)#pos#blue#[0.2434657414754232, 0.2091621822781033]
('192.168.137.1', 64572)#pos#blue#[0.24562339782714843, 0.2087541792127821]
('192.168.137.1', 64572)#pos#blue#[0.24417123794555665, 0.21068698741771558]
('192.168.137.1', 64572)#pos#blue#[0.2469457467397054, 0.21170162624782987]
('192.168.137.1', 64572)#pos#blue#[0.2450520674387614, 0.21134259259259258]
('192.168.137.1', 64572)#pos#blue#[0.24413291613260904, 0.20722725479691118]
('192.168.137.1', 64572)#pos#blue#[0.24671473503112792, 0.21182335747612846]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.20833333333333334]
('192.168.137.1', 64572)#pos#blue#[0.24429807662963868, 0.2081162346733941]
('192.168.137.1', 64572)#pos#blue#[0.24504054387410482, 0.21011243749547887]
('192.168.137.1', 64572)#pos#blue#[0.24530795415242512, 0.21223848130967882]
('192.168.137.1', 64572)#pos#blue#[0.2385981877644857, 0.2043244962339048]
('192.168.137.1', 64572)#pos#blue#[0.24723116556803384, 0.21040931984230324]
('192.168.137.1', 64572)#pos#blue#[0.24370331764221193, 0.21114624871148002]
('192.168.137.1', 64572)#pos#blue#[0.24465351104736327, 0.2140803443060981]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.2074074074074074]
('192.168.137.1', 64572)#pos#blue#[0.24710413614908855, 0.21030009234393085]
('192.168.137.1', 64572)#pos#blue#[0.247251828511556, 0.2095343130606192]
('192.168.137.1', 64572)#pos#blue#[0.24571080207824708, 0.21200982552987557]
('192.168.137.1', 64572)#pos#blue#[0.24411910374959309, 0.21213708100495515]
('192.168.137.1', 64572)#pos#blue#[0.2431341807047526, 0.2095871678105107]
('192.168.137.1', 64572)#pos#blue#[0.2436142921447754, 0.21004308064778646]
('192.168.137.1', 64572)#pos#blue#[0.24344277381896973, 0.2113632767288773]
('192.168.137.1', 64572)#pos#blue#[0.24211085637410482, 0.20835988080060042]
('192.168.137.1', 64572)#pos#blue#[0.24549716313680012, 0.20651312934027777]
('192.168.137.1', 64572)#pos#blue#[0.24265864690144856, 0.20441966586642796]
('192.168.137.1', 64572)#pos#blue#[0.24467732111612955, 0.21295166015625]
('192.168.137.1', 64572)#pos#blue#[0.23880858421325685, 0.20507493195710358]
('192.168.137.1', 64572)#pos#blue#[0.2418750286102295, 0.21333334181043836]
('192.168.137.1', 64572)#pos#blue#[0.23987396558125815, 0.20517566822193287]
('192.168.137.1', 64572)#pos#blue#[0.24527676900227866, 0.21034322668004918]
('192.168.137.1', 64572)#pos#blue#[0.24560731252034504, 0.21160493073640047]
('192.168.137.1', 64572)#pos#blue#[0.24477326075236003, 0.2094716672544126]
('192.168.137.1', 64572)#pos#blue#[0.24484747250874836, 0.2106103120026765]
('192.168.137.1', 64572)#pos#blue#[0.24596497217814128, 0.21106687475133826]
('192.168.137.1', 64572)#pos#blue#[0.23944261868794758, 0.2052443610297309]
('192.168.137.1', 64572)#pos#blue#[0.24487269719441732, 0.20813282154224538]
('192.168.137.1', 64572)#pos#blue#[0.2430550416310628, 0.20511524059154368]
('192.168.137.1', 64572)#pos#blue#[0.2436432679494222, 0.20943592212818288]
('192.168.137.1', 64572)#pos#blue#[0.24643672307332357, 0.20998756973831742]
('192.168.137.1', 64572)#pos#blue#[0.2421246369679769, 0.20928320708098236]
('192.168.137.1', 64572)#pos#blue#[0.23830464680989583, 0.2051055908203125]
('192.168.137.1', 64572)#pos#blue#[0.2435953458150228, 0.2115851366961444]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24479166666666666, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24471157391866047, 0.21075498792860242]
('192.168.137.1', 64572)#pos#blue#[0.2450425148010254, 0.21213959587944878]
('192.168.137.1', 64572)#pos#blue#[0.2464347203572591, 0.2117696691442419]
('192.168.137.1', 64572)#pos#blue#[0.24343749682108562, 0.20472222787362557]
('192.168.137.1', 64572)#pos#blue#[0.23972617785135905, 0.2049266815185547]
('192.168.137.1', 64572)#pos#blue#[0.24530590375264485, 0.21102917989095052]
('192.168.137.1', 64572)#pos#blue#[0.244997771581014, 0.2098811114275897]
('192.168.137.1', 64572)#pos#blue#[0.2461224397023519, 0.21087595621744792]
('192.168.137.1', 64572)#pos#blue#[0.24557034174601236, 0.21020811575430412]
('192.168.137.1', 64572)#pos#blue#[0.24048023223876952, 0.2039748721652561]
('192.168.137.1', 64572)#pos#blue#[0.24479166666666666, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24273900985717772, 0.20625617415816697]
('192.168.137.1', 64572)#pos#blue#[0.24294573465983074, 0.21019521642614294]
('192.168.137.1', 64572)#pos#blue#[0.24652098019917806, 0.2134144111915871]
('192.168.137.1', 64572)#pos#blue#[0.24573221206665039, 0.2104275456181279]
('192.168.137.1', 64572)#pos#blue#[0.24582506815592448, 0.21177729853877314]
('192.168.137.1', 64572)#pos#blue#[0.24530836741129558, 0.21177916350188078]
('192.168.137.1', 64572)#pos#blue#[0.24496307373046874, 0.21153154726381654]
('192.168.137.1', 64572)#pos#blue#[0.24490254720052082, 0.21185566937481914]
('192.168.137.1', 64572)#pos#blue#[0.24495115280151367, 0.20984902558503327]
('192.168.137.1', 64572)#pos#blue#[0.23908309936523436, 0.2025822674786603]
('192.168.137.1', 64572)#pos#blue#[0.24152568181355794, 0.20605537979691116]
('192.168.137.1', 64572)#pos#blue#[0.24698721567789714, 0.2084615636754919]
('192.168.137.1', 64572)#pos#blue#[0.24378167788187663, 0.21047597814489294]
('192.168.137.1', 64572)#pos#blue#[0.2452836831410726, 0.20860047516999422]
('192.168.137.1', 64572)#pos#blue#[0.24368011156717936, 0.2059225294325087]
('192.168.137.1', 64572)#pos#blue#[0.24528121948242188, 0.20990082069679541]
('192.168.137.1', 64572)#pos#blue#[0.2432321548461914, 0.21086222330729168]
('192.168.137.1', 64572)#pos#blue#[0.23843348821004232, 0.2047400297941985]
('192.168.137.1', 64572)#pos#blue#[0.2457613150278727, 0.21189035486291957]
('192.168.137.1', 64572)#pos#blue#[0.24446449279785157, 0.2072731300636574]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.20925925925925926]
('192.168.137.1', 64572)#pos#blue#[0.24458735783894855, 0.2080801080774378]
('192.168.137.1', 64572)#pos#blue#[0.24110865592956543, 0.2046370753535518]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.2074074074074074]
('192.168.137.1', 64572)#pos#blue#[0.2462892214457194, 0.2132762485080295]
('192.168.137.1', 64572)#pos#blue#[0.24629683494567872, 0.21169084619592737]
('192.168.137.1', 64572)#pos#blue#[0.24186391830444337, 0.20376766346119068]
('192.168.137.1', 64572)#pos#blue#[0.24176781972249348, 0.2050636715359158]
('192.168.137.1', 64572)#pos#blue#[0.24114583333333334, 0.20694444444444443]
('192.168.137.1', 64572)#pos#blue#[0.24188154538472492, 0.20457659120912905]
('192.168.137.1', 64572)#pos#blue#[0.24114583333333334, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24534881909688314, 0.2111268502694589]
('192.168.137.1', 64572)#pos#blue#[0.24573947588602701, 0.20957658555772568]
('192.168.137.1', 64572)#pos#blue#[0.24479166666666666, 0.20972222222222223]
('192.168.137.1', 64572)#pos#blue#[0.24582010904947918, 0.2089607945194951]
('192.168.137.1', 64572)#pos#blue#[0.24484583536783855, 0.21126675075954862]
('192.168.137.1', 64572)#pos#blue#[0.2464800516764323, 0.21076962506329572]
('192.168.137.1', 64572)#pos#blue#[0.24622424443562826, 0.21119195443612557]
('192.168.137.1', 64572)#pos#blue#[0.2450513203938802, 0.21250473305031106]
('192.168.137.1', 64572)#pos#blue#[0.23776893615722655, 0.20454847547743055]
('192.168.137.1', 64572)#pos#blue#[0.24010416666666667, 0.20601851851851852]
('192.168.137.1', 64572)#pos#blue#[0.24535857836405436, 0.20987383524576822]
('192.168.137.1', 64572)#pos#blue#[0.2429333527882894, 0.20526665581597223]
('192.168.137.1', 64572)#pos#blue#[0.2451335112253825, 0.2117219712999132]
('192.168.137.1', 64572)#pos#blue#[0.240625, 0.20833333333333334]
