('192.168.137.1', 64572)#wake#camera
('192.168.137.1', 64572)#pos#blue#[0.9712015787760416, 0.36195848253038193]
('192.168.137.1', 64572)#pos#blue#[0.9716394424438477, 0.3619292082609954]
('192.168.137.1', 64572)#pos#blue#[0.9713005701700846, 0.3616852371780961]
('192.168.137.1', 64572)#pos#blue#[0.9714799245198568, 0.36154903835720487]
('192.168.137.1', 64572)#pos#blue#[0.9716611862182617, 0.36184587831850407]
('192.168.137.1', 64572)#pos#blue#[0.9710537592569987, 0.36213209364149307]
('192.168.137.1', 64572)#pos#blue#[0.9712610880533854, 0.36200728239836516]
('192.168.137.1', 64572)#pos#blue#[0.9712909698486328, 0.3614018475567853]
('192.168.137.1', 64572)#pos#blue#[0.9713653564453125, 0.36167286060474535]
('192.168.137.1', 64572)#pos#blue#[0.971588134765625, 0.3617668999565972]
('192.168.137.1', 64572)#pos#blue#[0.971053949991862, 0.362395336009838]
('192.168.137.1', 64572)#pos#blue#[0.9715403874715169, 0.3619359051739728]
('192.168.137.1', 64572)#pos#blue#[0.9713982899983724, 0.3619905825014468]
('192.168.137.1', 64572)#pos#blue#[0.9711446126302083, 0.36193946555808737]
('192.168.137.1', 64572)#pos#blue#[0.9708388010660808, 0.3621673583984375]
('192.168.137.1', 64572)#pos#blue#[0.9713922500610351, 0.36156633165147567]
('192.168.137.1', 64572)#pos#blue#[0.9710456848144531, 0.36192361337167245]
('192.168.137.1', 64572)#pos#blue#[0.9711662928263346, 0.3620218347620081]
('192.168.137.1', 64572)#pos#blue#[0.971395746866862, 0.36165938200774017]
('192.168.137.1', 64572)#pos#blue#[0.9712588628133138, 0.36188572071216724]
('192.168.137.1', 64572)#pos#blue#[0.971603266398112, 0.36190914577907984]
('192.168.137.1', 64572)#pos#blue#[0.9718118667602539, 0.3618648105197483]
('192.168.137.1', 64572)#pos#blue#[0.9712080637613932, 0.3616810268825955]
('192.168.137.1', 64572)#pos#blue#[0.9711882273356119, 0.36207800971137155]
('192.168.137.1', 64572)#pos#blue#[0.9716593424479166, 0.3616408171477141]
('192.168.137.1', 64572)#pos#blue#[0.9712672551472982, 0.3611580177589699]
('192.168.137.1', 64572)#pos#blue#[0.9711382548014323, 0.36139045997902197]
('192.168.137.1', 64572)#pos#blue#[0.9713005701700846, 0.3616852371780961]
('192.168.137.1', 64572)#pos#blue#[0.970722770690918, 0.3630489773220486]
('192.168.137.1', 64572)#pos#blue#[0.9713435490926107, 0.36209465309425637]
('192.168.137.1', 64572)#pos#blue#[0.97129700978597, 0.361558758770978]
('192.168.137.1', 64572)#pos#blue#[0.9713213602701823, 0.3618149933991609]
('192.168.137.1', 64572)#pos#blue#[0.9714255650838216, 0.3620651527687355]
('192.168.137.1', 64572)#pos#blue#[0.971519660949707, 0.3622456303349248]
('192.168.137.1', 64572)#pos#blue#[0.971006202697754, 0.36216775399667245]
('192.168.137.1', 64572)#pos#blue#[0.9706985473632812, 0.36266883567527486]
('192.168.137.1', 64572)#pos#blue#[0.9710355122884115, 0.36247818558304395]
('192.168.137.1', 64572)#pos#blue#[0.9715281168619792, 0.3618713096336082]
('192.168.137.1', 64572)#pos#blue#[0.9713433583577474, 0.3615858007360388]
('192.168.137.1', 64572)#pos#blue#[0.9714648564656575, 0.3618279916268808]
('192.168.137.1', 64572)#pos#blue#[0.9713370641072591, 0.3615505924931279]
('192.168.137.1', 64572)#pos#blue#[0.9713030497233073, 0.3620174831814236]
('192.168.137.1', 64572)#pos#blue#[0.9712436040242513, 0.3618056685836227]
('192.168.137.1', 64572)#pos#blue#[0.9711090723673502, 0.3618572093822338]
('192.168.137.1', 64572)#pos#blue#[0.9712858200073242, 0.3622419569227431]
('192.168.137.1', 64572)#pos#blue#[0.9714429219563802, 0.36186822961877896]
('192.168.137.1', 64572)#pos#blue#[0.9706693013509115, 0.3622757523148148]
('192.168.137.1', 64572)#pos#blue#[0.9710980097452799, 0.36176379168475115]
('192.168.137.1', 64572)#pos#blue#[0.9711737314860026, 0.36178950557002315]
